"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Replies,Navigation,"Profile visits","Link clicks","Sticker taps"
17847407892457493,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","How did that get there?! 👀 #tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike",12,"05/29/2025 13:10",https://instagram.com/stories/hamletisntdead/3643419094352877612,"IG story",,Lifetime,56,43,1,0,0,55,,,
18173783317331251,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","My favorite king 💕 #tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike",12,"05/29/2025 13:04",https://instagram.com/stories/hamletisntdead/3643415991431840723,"IG story",,Lifetime,61,46,3,0,0,62,,,
18018497861706309,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",,15,"05/29/2025 13:02",https://instagram.com/stories/hamletisntdead/3643415105049491204,"IG story",,Lifetime,59,46,0,0,1,65,,,
18079522537837952,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","Wonder what I plan to do with these last 3 AUTOGRAPHED poster cards 👀 #tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike",15,"05/29/2025 12:54",https://instagram.com/stories/hamletisntdead/3643411187259315275,"IG story",,Lifetime,60,47,0,0,0,58,,,
18007022750772481,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","On my way to the theater 🙂‍↕️ Keep q’s rolling in👀 saving em for when I meet up with the rest of the cast  #tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike",8,"05/29/2025 12:50",https://instagram.com/stories/hamletisntdead/3643408893948179227,"IG story",,Lifetime,66,51,1,0,0,63,,,
18100335964550388,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","Tea? Steeped 
Yoga Class? Set
Routine? Sensational #tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike In this house we stan @yogawithnico",15,"05/29/2025 09:24",https://instagram.com/stories/hamletisntdead/3643305215693256463,"IG story",,Lifetime,71,53,1,0,0,74,,,
18055641785522316,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","#tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike",22,"05/29/2025 09:11",https://instagram.com/stories/hamletisntdead/3643299108493124024,"IG story",,Lifetime,76,55,2,0,0,76,,,
18009802601684976,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","ISSA TAKEOVER 😈 I’m Jaida, a Brooklyn Born & Raised Actor/Entertainer  In HID’s Cymbeline, I play Mother (MUVA), Queen and Arviragus (aka Ray Ray of the CAVE BOYZ) Come spend the day with me, ask questions and find out who our social guest is tonight 👀 📸: @osabenkenobi 
💄: @makeupbyrave  @leilanidadivine  #tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike",15,"05/29/2025 08:35",https://instagram.com/stories/hamletisntdead/3643280938910738407,"IG story",,Lifetime,108,78,3,0,0,80,,,16
17947112306855711,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",,28,"05/29/2025 05:04",https://instagram.com/stories/hamletisntdead/3643174837187884963,"IG story",,Lifetime,73,58,1,0,0,84,,,
18528131392037410,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","THE PEOPLE HAVE SPOKEN Find out what audiences are saying about Cymbeline!",15,"05/29/2025 05:03",https://instagram.com/stories/hamletisntdead/3643174166267024504,"IG story",,Lifetime,79,62,1,0,0,100,1,,
18023234936504915,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","@sophiaisprettycool 😍",3,"05/29/2025 03:56",,"IG story",,Lifetime,83,62,3,0,1,78,,,
18067679681486211,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",,11,"05/28/2025 12:29",https://instagram.com/stories/hamletisntdead/3642673853052029205,"IG story",,Lifetime,63,48,0,0,1,74,1,,
18147126100346093,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","#tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike",28,"05/28/2025 12:05",https://instagram.com/stories/hamletisntdead/3642661603117589519,"IG story",,Lifetime,66,52,4,0,1,77,,,2
18060269164951749,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",,55,"05/28/2025 09:40",https://instagram.com/stories/hamletisntdead/3642589289314074909,"IG story",,Lifetime,61,54,2,0,1,66,2,,
17927053707066179,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","Did you see the show last week?",15,"05/27/2025 18:47",,"IG story",,Lifetime,61,56,1,0,0,62,,8,
18076363903884637,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",,15,"05/27/2025 14:54",https://instagram.com/stories/hamletisntdead/3642021906166473057,"IG story",,Lifetime,58,56,2,0,0,61,1,,
18070988098758790,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",,60,"05/27/2025 05:44",https://instagram.com/stories/hamletisntdead/3641745740020589994,"IG story",,Lifetime,69,58,1,0,0,74,1,,
18303564421246557,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","diva is going to bed thanks for joining me today! IF U WANT TO KEEP UP WITH MY NONSENSE YOU CAN FOLLOW @LADYMAUDLIN",5,"05/26/2025 20:37",https://instagram.com/stories/hamletisntdead/3641469584998468333,"IG story",,Lifetime,70,57,2,0,0,66,1,,
18162672949356918,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","THANKS TO EVERYONE WHO CAME TONIGHT!",0,"05/26/2025 18:48",https://instagram.com/stories/hamletisntdead/3641414914015976338,"IG story",,Lifetime,69,59,4,0,0,70,,,
18177196468324225,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","@feribluee  The King is in",0,"05/26/2025 18:14",https://instagram.com/stories/hamletisntdead/3641397879965830574,"IG story",,Lifetime,153,133,2,0,0,71,,,
18385574455189181,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",,18,"05/26/2025 16:11",https://instagram.com/stories/hamletisntdead/3641355634818546648,"IG story",,Lifetime,63,54,2,0,0,64,,,
18052960571340927,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",,13,"05/26/2025 16:07",https://instagram.com/stories/hamletisntdead/3641334411757875011,"IG story",,Lifetime,60,52,3,0,0,66,,,
18082568149690484,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",,16,"05/26/2025 16:05",https://instagram.com/stories/hamletisntdead/3641332708887202720,"IG story",,Lifetime,62,52,2,0,0,69,,,
18305646187243317,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",,11,"05/26/2025 16:03",https://instagram.com/stories/hamletisntdead/3641332078768374748,"IG story",,Lifetime,62,52,2,0,0,55,,,
